,COMMUNITYBOARD,ACRES,DESCRIPTION
0,101.0,2.170157,18
1,102.0,2.87461217,42
2,103.0,3.97830416,64
3,104.0,0.16269304,27
4,105.0,0.74767853,45
5,106.0,0.68688386,13
6,107.0,1.64257462,21
7,108.0,0.25756153,14
8,109.0,2.08549122,37
9,110.0,3.91480063,77
10,111.0,2.93564261,29
11,112.0,1.93112318,39
12,164.0,0.11085586,3
13,201.0,0.7587561500000001,13
14,202.0,1.80181548,23
15,203.0,1.79746262,24
16,204.0,3.3477433,62
17,205.0,2.29532069,21
18,206.0,3.07336023,36
19,207.0,1.54176321,28
20,208.0,2.75680964,38
21,209.0,3.44167545,38
22,210.0,6.19402997,73
23,211.0,3.16907812,43
24,212.0,1.75478807,30
25,226.0,0.5431686800000001,11
26,227.0,0.39286017,10
27,228.0,5.74479949,17
28,301.0,4.05600152,52
29,302.0,2.55777935,52
30,303.0,0.52712654,13
31,304.0,0.23892608,4
32,305.0,2.80144924,44
33,306.0,0.94347162,28
34,307.0,0.55134406,16
35,308.0,0.51080739,11
36,309.0,0.29807525,5
37,310.0,1.52212367,15
38,311.0,1.16436184,12
39,312.0,1.0271099399999999,12
40,313.0,2.9471218,44
41,314.0,1.43723594,30
42,315.0,1.68272648,28
43,316.0,1.40188971,24
44,317.0,2.08142535,23
45,318.0,7.06876357,89
46,355.0,1.40248757,18
47,356.0,0.01255606,1
48,401.0,2.31117186,35
49,402.0,4.42872827,73
50,403.0,4.09276825,65
51,404.0,0.67756176,16
52,405.0,2.44585002,38
53,406.0,1.37281162,25
54,407.0,4.49762554,76
55,408.0,7.14683311,134
56,409.0,2.78690644,32
57,410.0,2.1308181299999998,22
58,411.0,6.35079231,94
59,412.0,3.7554992400000002,49
60,413.0,10.82071113,163
61,414.0,9.44847212,97
62,480.0,0.03194288,3
63,481.0,2.21453942,25
64,482.0,0.15403775,4
65,501.0,4.639696,93
66,502.0,15.98584106,183
67,503.0,4.16232,52
68,595.0,1.56425815,20
